Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba2InCuO4,Al2Pb3F12,0.6514012242772297,0.73567015,0.524997792000104,66.5776608700688,1.3662169977268188,5.2252,3.859,16.232185176768496,-1.020414262843138,0.0072039388442601
Ba2Na2U(S2O)2,Ba2DyCl7,0.6497170521005485,0.73329294,0.5243532094320887,66.77289102453724,1.5081917121269697,5.4194,3.9112,16.662390744610835,-0.506995864643156,-0.0958273675598281
Ba4P2O,Ba2DyCl7,0.6487991441706814,0.7293712,0.5279410455177223,67.95861221233572,1.2965169977268192,5.4194,4.1229000000000005,17.31921624773407,-1.3626146179829928,-0.0968007955565257
Ba4P2O,Ba2HoCl7,0.6482280251123002,0.72668296,0.5305455765966303,68.79845174888904,1.2965169977268192,5.4559,4.1594,17.526026148831015,-1.3592738983163273,-0.0871760350050488
Ba3Zr6BeCl18,Ba3Tm(BO2)9,0.6480851664315072,0.7371623,0.5144694184686757,64.41559099666433,1.2822169977268187,5.2676,3.9854,16.467591779378182,-0.8515050471774201,-0.2241180308124654
Ba2InCuO4,Ba3B6O11F2,0.6479822831586857,0.7295283,0.525663231123452,67.51649920338099,1.3662169977268188,5.252710526336427,3.8865,16.384847293223228,-0.9821029337121212,0.0545220635533256
Ba2InCuO4,Ba3Tm(BO2)9,0.6451377858617751,0.74372894,0.4972510014719883,60.276886537818875,1.3662169977268188,5.2676,3.9014,16.467591779378182,-0.9131804563440876,-0.3108627672117701
Ba3In2O6,Ba3Tm(BO2)9,0.6433848113280992,0.723004,0.5239560381726575,68.07468694010869,1.107916997726819,5.2676,4.1597,16.467591779378182,-0.636532382328935,-0.1350818568646777
Ba2SnSe5,Ba2HoCl7,0.6422138797680212,0.71943194,0.5263867198029342,69.0090984070678,1.3426169977268192,5.4559,4.1133,17.526026148831015,-1.3552795838476568,0.0130552111443366
Ba2InBiSe5,Ba2DyCl7,0.6420756510957188,0.7218678,0.5223873833974468,67.93577088335958,1.316416997726819,5.4194,4.103,17.31921624773407,-1.4002941823460644,-0.2201803558371923
