Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,0.8,-1.45,-1.45,-70.5985252139097,-75.1062614411937,-7.059852521390969e-13,-7.510626144119369e-13
Candidate_0,4.0,0.8,-1.4,-1.4,-55.52652400794561,-58.61887504922416,-5.552652400794561e-13,-5.861887504922416e-13
Candidate_0,4.0,0.8,-1.35,-1.35,-43.56175769919987,-45.66742487119667,-4.356175769919987e-13,-4.566742487119667e-13
Candidate_0,4.0,0.8,-1.3,-1.3,-34.138797034007354,-35.56135310232108,-3.4138797034007354e-13,-3.556135310232108e-13
Candidate_0,4.0,0.8,-1.25,-1.25,-26.76077055615099,-27.713822052557674,-2.676077055615099e-13,-2.7713822052557676e-13
Candidate_0,4.0,0.8,-1.2,-1.2,-21.000930151428793,-21.63377443121774,-2.1000930151428793e-13,-2.1633774431217742e-13
Candidate_0,4.0,0.8,-1.15,-1.15,-16.50789886781359,-16.924146015513294,-1.650789886781359e-13,-1.6924146015513295e-13
Candidate_0,4.0,0.8,-1.1,-1.1,-13.000986415845682,-13.271999381579484,-1.3000986415845683e-13,-1.3271999381579485e-13
Candidate_0,4.0,0.8,-1.05,-1.05,-10.259947204134344,-10.434484708117829,-1.0259947204134344e-13,-1.0434484708117829e-13
Candidate_0,4.0,0.8,-1.0,-1.0,-8.11359024620748,-8.224681979823208,-8.11359024620748e-14,-8.224681979823208e-14
Candidate_0,4.0,0.8,-0.95,-0.95,-6.42942426023148,-6.49924021758227,-6.42942426023148e-14,-6.49924021758227e-14
Candidate_0,4.0,0.8,-0.9,-0.9,-5.105042214110936,-5.148317014920998,-5.105042214110936e-14,-5.148317014920998e-14
Candidate_0,4.0,0.8,-0.85,-0.85,-4.061258115266875,-4.087680992196185,-4.061258115266875e-14,-4.087680992196185e-14
Candidate_0,4.0,0.8,-0.8,-0.8,-3.236758296419618,-3.252627728083933,-3.236758296419618e-14,-3.252627728083933e-14
Candidate_0,4.0,0.8,-0.75,-0.75,-2.5839777512631907,-2.593337084643394,-2.5839777512631906e-14,-2.5933370846433942e-14
Candidate_0,4.0,0.8,-0.7,-0.7,-2.0659361270063092,-2.071345723272392,-2.0659361270063093e-14,-2.0713457232723923e-14
Candidate_0,4.0,0.8,-0.65,-0.65,-1.6538136067592322,-1.6568705547949554,-1.6538136067592322e-14,-1.6568705547949555e-14
Candidate_0,4.0,0.8,-0.6,-0.6,-1.3250929096832509,-1.3267770013509925,-1.3250929096832509e-14,-1.3267770013509925e-14
Candidate_0,4.0,0.8,-0.55,-0.55,-1.0621330653782317,-1.0630343573135173,-1.0621330653782317e-14,-1.0630343573135172e-14
Candidate_0,4.0,0.8,-0.5,-0.5,-0.851072226990662,-0.8515387504694835,-8.51072226990662e-15,-8.515387504694835e-15
Candidate_0,4.0,0.8,-0.45,-0.45,-0.6809813273271125,-0.6812135736958203,-6.809813273271125e-15,-6.812135736958202e-15
Candidate_0,4.0,0.8,-0.4,-0.4,-0.543209130836052,-0.5433195129926516,-5.432091308360521e-15,-5.433195129926516e-15
Candidate_0,4.0,0.8,-0.35,-0.35,-0.4308734433942985,-0.4309230356860312,-4.308734433942985e-15,-4.309230356860312e-15
Candidate_0,4.0,0.8,-0.3,-0.3,-0.33846396771514725,-0.3384847381131405,-3.3846396771514723e-15,-3.384847381131405e-15
Candidate_0,4.0,0.8,-0.25,-0.25,-0.2615303714335632,-0.26153831556896817,-2.6153037143356322e-15,-2.615383155689682e-15
Candidate_0,4.0,0.8,-0.2,-0.2,-0.19643520948926232,-0.196437895028154,-1.964352094892623e-15,-1.96437895028154e-15
Candidate_0,4.0,0.8,-0.15,-0.15,-0.28174074307422653,-0.28174150071659776,-2.8174074307422655e-15,-2.8174150071659774e-15
Candidate_0,4.0,0.8,-0.1,-0.1,-0.18782716302798105,-0.18782732140245997,-1.8782716302798107e-15,-1.8782732140245998e-15
Candidate_0,4.0,0.8,-0.05,-0.05,-0.09391358178740855,-0.09391359925513922,-9.391358178740856e-16,-9.391359925513922e-16
Candidate_0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Candidate_0,4.0,0.8,0.05,0.05,0.09391358178740938,0.09391359925514005,9.391358178740939e-16,9.391359925514004e-16
Candidate_0,4.0,0.8,0.1,0.1,0.18782716302798189,0.1878273214024608,1.878271630279819e-15,1.878273214024608e-15
Candidate_0,4.0,0.8,0.15,0.15,0.28174074307422736,0.2817415007165986,2.8174074307422738e-15,2.817415007165986e-15
Candidate_0,4.0,0.8,0.2,0.2,0.19643520948926332,0.196437895028155,1.9643520948926333e-15,1.96437895028155e-15
Candidate_0,4.0,0.8,0.25,0.25,0.2615303714335632,0.26153831556896817,2.6153037143356322e-15,2.615383155689682e-15
Candidate_0,4.0,0.8,0.3,0.3,0.3384639677151486,0.33848473811314184,3.3846396771514858e-15,3.3848473811314185e-15
Candidate_0,4.0,0.8,0.35,0.35,0.4308734433942986,0.4309230356860313,4.3087344339429864e-15,4.309230356860313e-15
